analysis,classification,recommended_location,rationale
Female-referenced rank-one contrast-vector test,central,main text,Direct test of whether adjusted morph divergence requires more than one direction
Joint repeated-trait leg-allocation model,central,main text,Primary test of locomotory allocation across all three leg pairs
Adjusted sensory-trait group means,central,main text,Tests the directional sensory prediction at a common body size
One-stage raw-head weapon-leg model,supporting,main text and supplement,Tests weapon-leg integration without residual predictors but is not needed to establish multivariate dimensionality
Five-trait covariance/correlation omnibus tests,central,main text,Direct test of morph-specific integration architecture excluding the classification trait
Five-trait PCA with parallel analysis,supporting,main text or supplement,Describes the dominant dimension of individual variation but is not the direct centroid-vector test
Tenth-instar male-female anterior-posterior contrast,central,main text,Holds terminal instar constant while contrasting weapon expression
Ninth-instar midpoint equivalence tests,central,main text,Provides positive evidence for the retained intermediacy claim
Measurement repeatability,supporting,supplement,Establishes measurement reliability without expanding the biological hypothesis set
Matrix pairwise comparisons,supporting,supplement,Localizes any omnibus matrix result
Matrix similarities and rarefaction,supporting,supplement,Describes orientation and unequal-sample-size sensitivity
Six-trait PCA including head size,sensitivity,supplement,Assesses dependence on the trait used in male morph classification
Six-trait covariance/correlation omnibus tests,sensitivity,supplement,Assesses whether including head size changes the matrix conclusion
Head-adjusted eye model,sensitivity,main text or supplement,Addresses structural coupling and classification circularity
Classification-disagreement exclusion,sensitivity,supplement,Checks dependence on archived morph labels near historical cutoffs
Head-included and alternative-scaling rank-one fits,sensitivity,supplement,Checks scale and trait-set dependence of vector geometry
Morph-frequency comparison,sensitivity,supplement,Quantifies possible ascertainment or collection bias
Separate leg-pair and segment allometries,exploratory,supplement,Decomposes the joint leg result but adds many weakly powered tests
Local ear-foretibia and eye-head slopes,exploratory,supplement,Describes local anatomical coupling without testing the central allocation contrast
Weapon-ear slopes and equivalence,exploratory,supplement,Relevant to decoupling but too imprecise for a strong positive claim
Across-analysis multiplicity sensitivity,exploratory,supplement,Post hoc robustness summary rather than a prespecified family
